SpecID,Subphylum
Spec260,Ascomycota
Spec210,Ascomycota
Spec261,Ascomycota
Spec262,Ascomycota
Spec263,Ascomycota
Spec264,Ascomycota
Spec265,Ascomycota
Spec266,Ascomycota
Spec267,Ascomycota
Spec268,Ascomycota
Spec269,Ascomycota
Spec270,Ascomycota
Spec271,Ascomycota
Spec272,Ascomycota
Spec273,Ascomycota
Spec274,Ascomycota
Spec275,Ascomycota
Spec276,Ascomycota
Spec277,Ascomycota
Spec278,Ascomycota
Spec225,Ascomycota
Spec279,Ascomycota
Spec280,Ascomycota
Spec281,Ascomycota
Spec282,Ascomycota
Spec283,Ascomycota
Spec284,Ascomycota
Spec285,Ascomycota
Spec286,Ascomycota
Spec287,Ascomycota
Spec288,Ascomycota
Spec289,Ascomycota
Spec290,Ascomycota
Spec291,Ascomycota
Spec292,Ascomycota
Spec293,Ascomycota
Spec294,Ascomycota
Spec295,Ascomycota
Spec296,Ascomycota
Spec297,Ascomycota
Spec298,NA
Spec299,Ascomycota
Spec300,Ascomycota
Spec301,Ascomycota
Spec302,Ascomycota
Spec303,Ascomycota
Spec304,Ascomycota
Spec305,Ascomycota
Spec306,Ascomycota
Spec307,Ascomycota
Spec308,Ascomycota
Spec309,Ascomycota
Spec310,Ascomycota
Spec311,Ascomycota
Spec312,Ascomycota
Spec313,Ascomycota
Spec314,Ascomycota
Spec315,Ascomycota
Spec316,Ascomycota
Spec317,Ascomycota
Spec318,Ascomycota
Spec319,Ascomycota
Spec320,Ascomycota
Spec321,Ascomycota
Spec322,Ascomycota
Spec323,Ascomycota
Spec324,Ascomycota
Spec325,Ascomycota
Spec326,Ascomycota
Spec327,Ascomycota
Spec328,Ascomycota
Spec329,Ascomycota
Spec3,Ascomycota
Spec330,Ascomycota
Spec331,Ascomycota
Spec332,Ascomycota
Spec333,Ascomycota
Spec334,Ascomycota
Spec335,Ascomycota
Spec336,Ascomycota
Spec337,Ascomycota
Spec338,Ascomycota
Spec339,Ascomycota
Spec340,Ascomycota
Spec341,Ascomycota
Spec342,Ascomycota
Spec343,Ascomycota
Spec344,Ascomycota
Spec345,Ascomycota
Spec346,Ascomycota
Spec347,Ascomycota
Spec348,Ascomycota
Spec349,Ascomycota
Spec350,Ascomycota
Spec351,Ascomycota
Spec352,Ascomycota
Spec353,Ascomycota
Spec354,Ascomycota
Spec355,Ascomycota
Spec356,Ascomycota
Spec357,Ascomycota
Spec352,Ascomycota
Spec358,Ascomycota
Spec359,Ascomycota
Spec360,Ascomycota
Spec361,Ascomycota
Spec362,Ascomycota
Spec363,Ascomycota
Spec364,Ascomycota
Spec365,Ascomycota
Spec366,Ascomycota
Spec367,Ascomycota
Spec368,Ascomycota
Spec369,Ascomycota
Spec256,Ascomycota
Spec370,Ascomycota
Spec371,Ascomycota
Spec372,Ascomycota
Spec373,Ascomycota
